Entity,GDP,Code,Violence
Afghanistan,19469022208,AFG,74
Albania,11883682171,ALB,77
Algeria,1.59049E+11,DZA,86
Argentina,5.54861E+11,ARG,72
Armenia,10546135160,ARM,70
Azerbaijan,37867518957,AZE,77
Bangladesh,2.21415E+11,BGD,82
Barbados,4529050000,BRB,75
Belarus,47722657821,BLR,65
Belize,1820158550,BLZ,71
Benin,8573159697,BEN,91
Bosnia and Herzegovina,16911088174,BIH,55
Burkina Faso,11448781714,BFA,83
Cameroon,32217537943,CMR,85
Central African Republic,1755468137,CAF,92
Chad,9412034269,TCD,84
Congo,7833508879,COG,83
Costa Rica,56988989897,CRI,46
Cote d'Ivoire,36374849865,CIV,91
Cuba,87132800000,CUB,36
Democratic Republic of Congo,34991160100,COD,82
Djibouti,1764268469,DJI,72
Dominican Republic,72342967648,DOM,63
Egypt,3.32928E+11,EGY,93
El Salvador,23912227500,SLV,52
Fiji,4671313315,FJI,72
Gambia,962797146.5,GMB,90
Georgia,14378016732,GEO,67
Ghana,42803583022,GHA,94
Guinea-Bissau,1178204501,GNB,82
Guyana,3504024213,GUY,70
Haiti,7970649131,HTI,85
Iraq,1.71489E+11,IRQ,79
Jamaica,2.80057E+13,JAM,85
Jordan,38654727746,JOR,90
Kazakhstan,1.37278E+11,KAZ,49
Kiribati,181551516.5,KIR,81
Kyrgyzstan,6813092066,KGZ,57
Laos,15805707154,LAO,76
Lebanon,49598825982,LBN,82
Liberia,2101000000,LBR,90
Macedonia,10745787406,MKD,69
Malawi,5433038647,MWI,72
Mauritania,4739298311,MRT,87
Moldova,6795741776,MDA,76
Mongolia,11183458131,MNG,47
Montenegro,4374130531,MNE,69
Morocco,1.03606E+11,MAR,91
Nepal,21131983246,NPL,82
Niger,7606749314,NER,82
Nigeria,4.04653E+11,NGA,91
Palestine,13425700000,PSE,92
Panama,57820916600,PAN,45
Qatar,1.52452E+11,QAT,50
Saint Lucia,1667078704,LCA,68
Sao Tome and Principe,354238109.3,STP,80
Serbia,38299854688,SRB,43
Sierra Leone,3556036535,SLE,82
Solomon Islands,1232699140,SLB,72
Sudan,95584380032,SDN,64
Suriname,3278425328,SUR,86
Swaziland,3720649375,SWZ,88
Syria,40405006007,SYR,89
Tajikistan,6951657159,TJK,78
Togo,4388569576,TGO,81
Trinidad and Tobago,22320008403,TTO,77
Tunisia,42062549395,TUN,93
Ukraine,93270479389,UKR,61
Uruguay,52687612262,URY,55
Vanuatu,787942567.4,VUT,84
Vietnam,2.05276E+11,VNM,68
Yemen,18213328571,YEM,79
Zimbabwe,16619960400,ZWE,63
